R4ID,ID,Dist
0,15167,0
1,15358,0
2,15550,0
3,15742,0
4,15934,0
5,16126,0
6,16318,0
7,16509,0
8,16701,0
9,16893,0
10,17085,0
11,17277,0
12,17468,0
13,17660,0
14,17852,0
15,18044,0
16,18235,0
17,18427,0
18,18619,0
19,18811,0
20,19002,0
21,19194,0
22,19193,0
23,19384,0
24,19383,0
25,19574,0
26,19573,0
27,19764,0
28,19763,0
29,19762,0
30,19761,0
31,19952,0
32,19951,0
33,19950,0
34,19949,0
35,19948,0
36,19947,0
37,19946,0
38,19753,0
39,19752,0
40,19751,0
41,19750,0
42,19749,0
43,19556,0
44,19555,0
45,19554,0
46,19553,0
47,19552,0
48,19551,0
49,19358,0
50,19357,0
51,19356,0
52,19355,0
53,19354,0
54,19353,0
55,19352,0
56,19351,0
57,19350,0
58,19349,0
59,19348,0
60,19347,0
61,19346,0
62,19345,0
63,19344,0
64,19343,0
65,19342,0
66,19341,0
67,19340,0
68,19147,0
69,19338,0
70,19530,0
71,19722,0
72,19914,0
73,20105,0
74,20297,0
75,20489,0
76,20680,0
77,20872,0
78,21063,0
79,21254,0
80,21445,0
81,21636,0
82,21827,0
83,22018,0
84,22209,0
85,22400,0
86,22591,0
87,22782,0
88,22973,0
89,23164,0
90,23355,0
91,23546,0
92,23737,0
93,23928,0
94,24119,0
95,24310,0
96,24501,0
97,24692,0
98,24883,0
99,25074,0
100,25265,0
101,25456,0
102,25455,0
103,25646,0
104,25838,0
105,25837,0
106,26028,0
107,26219,0
108,26410,0
109,26602,0
110,26601,0
111,26792,0
112,26984,0
113,27176,0
114,27367,0
115,27559,0
116,27751,0
117,27942,0
118,28134,0
119,28326,0
120,28517,0
121,28709,0
122,28901,0
123,29092,0
124,29284,0
125,29476,0
126,29667,0
127,29858,0
128,30049,0
129,30240,0
130,30431,0
131,30430,0
132,30621,0
133,30812,0
134,30811,0
135,31002,0
136,31001,0
137,31000,0
138,30999,0
139,30998,0
140,30997,0
141,31188,0
142,31187,0
143,31186,0
144,31185,0
145,31184,0
146,31183,0
147,30990,0
148,30989,0
149,30988,0
150,30987,0
151,30794,0
152,30793,0
153,30792,0
154,30599,0
155,30598,0
156,30597,0
157,30596,0
158,30403,0
159,30402,0
160,30401,0
161,30400,0
162,30207,0
163,30206,0
164,30013,0
165,29820,0
166,29627,0
167,29626,0
168,29433,0
169,29240,0
170,29047,0
171,28854,0
172,28661,0
173,28660,0
174,28467,0
175,28466,0
176,28273,0
177,28272,0
178,28079,0
179,28078,0
180,27885,0
181,27884,0
182,27883,0
183,27690,0
184,27689,0
185,27496,0
186,27495,0
187,27494,0
188,27301,0
189,27300,0
190,27299,0
191,27298,0
192,27297,0
193,27104,0
194,27103,0
195,27102,0
196,27101,0
197,27100,0
198,27099,0
199,27098,0
200,26905,0
201,26904,0
202,26903,0
203,26902,0
204,26901,0
205,26900,0
206,26899,0
207,26898,0
208,26705,0
209,26704,0
210,26703,0
211,26702,0
212,26701,0
213,26700,0
214,26699,0
215,26698,0
216,26697,0
217,26504,0
218,26503,0
219,26502,0
220,26501,0
221,26500,0
222,26499,0
223,26498,0
224,26497,0
225,26304,0
226,15359,2
227,15551,1
228,15743,1
229,15935,1
230,16127,1
231,16319,1
232,16510,2
233,16702,1
234,16894,1
235,17086,1
236,17278,1
237,17469,1
238,17661,2
239,17853,2
240,18045,2
241,18236,1
242,18428,1
243,18620,1
244,18812,1
245,19003,1
246,19195,1
247,19386,1
248,19385,1
249,19576,1
250,19575,1
251,19766,1
252,19765,1
253,19956,1
254,19955,1
255,19954,1
256,19953,1
257,20144,2
258,20143,2
259,20142,2
260,20141,2
261,20140,2
262,20139,2
263,19945,1
264,20138,3
265,19944,1
266,19943,1
267,19942,1
268,19748,1
269,19941,1
270,19747,1
271,19746,1
272,19745,1
273,19744,1
274,19550,1
275,19743,1
276,19549,1
277,19548,1
278,19547,1
279,19546,1
280,19545,1
281,19544,1
282,19543,1
283,19542,1
284,19541,1
285,19540,1
286,19539,1
287,19538,1
288,19537,1
289,19536,1
290,19535,1
291,19534,1
292,19533,1
293,19339,1
294,19532,1
295,19531,1
296,19723,1
297,19915,1
298,20106,2
299,20298,2
300,20490,2
301,20681,2
302,20873,1
303,21064,1
304,21255,2
305,21446,1
306,21637,1
307,21828,2
308,22019,1
309,22210,1
310,22401,2
311,22592,1
312,22783,1
313,22974,2
314,23165,1
315,23356,1
316,23547,2
317,23738,1
318,23929,1
319,24120,2
320,24311,1
321,24502,1
322,24693,2
323,24884,1
324,25075,1
325,25266,3
326,25457,1
327,25648,1
328,25647,1
329,25839,1
330,26030,1
331,26029,1
332,26220,1
333,26411,1
334,26603,1
335,26794,1
336,26793,1
337,26985,2
338,27177,2
339,27368,1
340,27560,1
341,27752,1
342,27943,1
343,28135,1
344,28327,1
345,28518,1
346,28710,2
347,28902,2
348,29093,1
349,29285,1
350,29477,1
351,29668,1
352,29859,2
353,30050,1
354,30241,1
355,30432,2
356,30623,1
357,30622,1
358,30813,1
359,31004,2
360,31003,1
361,31194,1
362,31193,1
363,31192,1
364,31191,1
365,31190,1
366,31189,1
367,31380,1
368,31379,1
369,31378,1
370,31377,1
371,31376,1
372,31182,1
373,31375,1
374,31181,1
375,31180,1
376,30986,3
377,31179,1
378,30985,3
379,30791,1
380,30984,3
381,30790,1
382,30789,1
383,30595,1
384,30788,1
385,30594,1
386,30593,1
387,30399,2
388,30592,1
389,30205,1
390,30398,2
391,30012,1
392,29819,3
393,29625,1
394,29818,1
395,29432,1
396,29239,1
397,29046,1
398,28853,1
399,28659,2
400,28852,1
401,28465,1
402,28658,2
403,28271,1
404,28464,1
405,28077,2
406,28270,1
407,28076,2
408,27882,1
409,28075,2
410,27688,1
411,27881,1
412,27687,1
413,27493,2
414,27686,1
415,27492,2
416,27491,2
417,27490,3
418,27296,1
419,27489,3
420,27295,1
421,27294,1
422,27293,1
423,27292,1
424,27291,1
425,27097,1
426,27290,1
427,27096,1
428,27095,1
429,27094,1
430,27093,1
431,27092,1
432,27091,1
433,26897,1
434,27090,1
435,26896,2
436,26895,2
