R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
0,15167,0,3,1
1,15358,0,2,1
2,15550,0,3,1
3,15742,0,3,1
4,15934,0,1,1
5,16126,0,4,1
6,16318,0,4,1
7,16509,0,2,1
8,16701,0,6,1
9,16893,0,5,1
10,17085,0,1,1
11,17277,0,4,1
12,17468,0,0,1
13,17660,0,4,1
14,17852,0,2,1
15,18044,0,2,1
16,18235,0,3,1
17,18427,0,2,1
18,18619,0,7,1
19,18811,0,3,1
20,19002,0,1,1
21,19194,0,3,1
22,19193,0,3,1
23,19384,0,2,1
24,19383,0,1,1
25,19574,0,1,1
26,19573,0,5,1
27,19764,0,5,1
28,19763,0,1,1
29,19762,0,3,1
30,19761,0,4,1
31,19952,0,4,1
32,19951,0,2,1
33,19950,0,6,1
34,19949,0,4,1
35,19948,0,2,1
36,19947,0,5,1
37,19946,0,1,1
38,19753,0,4,1
39,19752,0,2,1
40,19751,0,4,1
41,19750,0,0,1
42,19749,0,3,1
43,19556,0,2,1
44,19555,0,5,1
45,19554,0,3,1
46,19553,0,1,1
47,19552,0,2,1
48,19551,0,1,1
49,19358,0,5,1
50,19357,0,3,1
51,19356,0,9,1
52,19355,0,1,1
53,19354,0,3,1
54,19353,0,1,1
55,19352,0,1,1
56,19351,0,3,1
57,19350,0,4,1
58,19349,0,0,1
59,19348,0,1,1
60,19347,0,2,1
61,19346,0,4,1
62,19345,0,2,1
63,19344,0,4,1
64,19343,0,3,1
65,19342,0,4,1
66,19341,0,1,1
67,19340,0,1,1
68,19147,0,3,1
69,19338,0,0,1
70,19530,0,3,1
71,19722,0,3,1
72,19914,0,1,1
73,20105,0,2,1
74,20297,0,3,1
75,20489,0,1,1
76,20680,0,1,1
77,20872,0,2,1
78,21063,0,2,1
79,21254,0,1,1
80,21445,0,4,1
81,21636,0,6,1
82,21827,0,3,1
83,22018,0,2,1
84,22209,0,2,1
85,22400,0,1,1
86,22591,0,0,1
87,22782,0,7,1
88,22973,0,3,1
89,23164,0,4,1
90,23355,0,2,1
91,23546,0,3,1
92,23737,0,3,1
93,23928,0,4,1
94,24119,0,3,1
95,24310,0,2,1
96,24501,0,3,1
97,24692,0,2,1
98,24883,0,3,1
99,25074,0,4,1
100,25265,0,3,1
101,25456,0,2,1
102,25455,0,1,1
103,25646,0,1,1
104,25838,0,2,1
105,25837,0,1,1
106,26028,0,4,1
107,26219,0,3,1
108,26410,0,2,1
109,26602,0,1,1
110,26601,0,0,1
111,26792,0,3,1
112,26984,0,2,1
113,27176,0,3,1
114,27367,0,3,1
115,27559,0,4,1
116,27751,0,2,1
117,27942,0,3,1
118,28134,0,4,1
119,28326,0,4,1
120,28517,0,4,1
121,28709,0,4,1
122,28901,0,2,1
123,29092,0,0,1
124,29284,0,2,1
125,29476,0,1,1
126,29667,0,3,1
127,29858,0,3,1
128,30049,0,0,1
129,30240,0,4,1
130,30431,0,3,1
131,30430,0,3,1
132,30621,0,3,1
133,30812,0,8,1
134,30811,0,3,1
135,31002,0,3,1
136,31001,0,0,1
137,31000,0,2,1
138,30999,0,5,1
139,30998,0,1,1
140,30997,0,2,1
141,31188,0,8,1
